player_id,player,nationality,born,height_cm,source
PAWM,"AÇIK, TUTKU",Turkiye,1980-09-01T00:00:00,194,wikipedia
PBCW,"BARTON, LUBOS",Czech Republic,1980-04-07T00:00:00,202,wikipedia
PAVV,"BEGHIN, CHRISTOPHE",Belgium,1980-01-02T00:00:00,206,wikipedia
P003390,"FRASUNKIEWICZ, PRZEMYSLAW",Poland,1979-01-08T00:00:00,202,wikipedia
PBIM,"GABRIEL, GERMAN",Spain,1980-11-16T00:00:00,207,wikipedia
PJUP,"KAIMAKOGLOU, KOSTAS",Greece,1983-03-15T00:00:00,206,Sport365
PBFE,"KECMAN, DUSAN",Serbia,1977-11-06T00:00:00,197,wikipedia
P001324,"MUHAMMED, ALI",United States of America,1983-04-10T00:00:00,178,wikipedia
PATP,"POPOVIC, MARKO",Croatia,1982-06-12T00:00:00,185,wikipedia
P001209,"SZCZOTKA, PIOTR",Poland,1981-06-17T00:00:00,198,wikipedia
PAUT,"VUKCEVIC, DUSAN",Greece,1975-11-14T00:00:00,202,wikipedia
