player_id,name,query_used,match_status,athlete_id,matched_name,matched_club,position_3cat,formation_position_name,formation_position_short,height_365,candidates
P003733,"ABALDE, ALBERTO",Alberto Abalde,exact,53139,Alberto Abalde,Real Madrid,Forward,Small Forward,SF,"6' 8""",53139:Alberto Abalde:Real Madrid
P003527,"ABASS, AWUDU",Awudu Abass,exact,53158,Awudu Abass,BC Dubai,Forward,Small Forward,SF,"6' 7""",53158:Awudu Abass:BC Dubai
P002414,"ABIA, LARRY",Larry Abia,not_found,,,,,,,,
PAWH,"ABI, MUSTAFA",Mustafa Abi,ambiguous,,,,,,,,173453:Alimat Abiola:None; 89527:Micaiah Abii:None
P012298,"ABOSI, VENIAMIN",Veniamin Abosi,exact,126320,Veniamin Abosi,,Forward,Small Forward,SF,"6' 4""",126320:Veniamin Abosi:None
PLNW,"ABOUBAKAR ZAKI, AMADOU",Amadou Aboubakar Zaki,not_found,,,,,,,,
P004191,"ABOUDOU, JORDAN",Jordan Aboudou,not_found,,,,,,,,
P003478,"ABRINES, ALEX",Alex Abrines,exact,53721,Álex Abrines,,Forward,Power Forward,PF,"6' 6""",53721:Álex Abrines:None
P005199,"ABROMAITIS, TIM",Tim Abromaitis,exact,70969,Tim Abromaitis,La Laguna Tenerife,Forward,Power Forward,PF,"6' 8""",70969:Tim Abromaitis:La Laguna Tenerife
P013027,"ACCORSI, MATTEO",Matteo Accorsi,exact,195538,Matteo Accorsi,,Guard,Point Guard,PG,"6' 2""",195538:Matteo Accorsi:None
PAWM,"AÇIK, TUTKU",Tutku Açik,not_found,,,,,,,,
PLGC,"ACKER, ALEX",Alex Acker,ambiguous,,,,,,,,104115:Lahav Ackerman:None; 109298:Ben Ackerley:None; 127203:Peyton Ackerman:None
P009847,"ACY, QUINCY",Quincy Acy,exact,53439,Quincy Acy,,Forward,Small Forward,SF,"6' 7""",53439:Quincy Acy:None
P005795,"ADAMS, DARIUS",Darius Adams,exact,149364,Darius Adams,,Guard,Point Guard,PG,"6' 1""",149364:Darius Adams:None
P012056,"ADAMS, JALEN",Jalen Adams,ambiguous,,,,,,,,53726:Steven Adams:Houston Rockets; 102633:Jaylen Adams:Parma; 89340:Julian Adams:Drexel; 89958:Brendan Adams:Parma; 108562:KJ Adams Jr.:None; 71054:Adams Sola:Movistar Estudiantes; 120636:Prince Ali:None; 147565:Marcus Adams Jr.:None; 202516:Destiny Adams:None; 109382:Darian Adams:Jacksonville State; 149364:Darius Adams:None
P011963,"ADAMS, JAYLEN",Jaylen Adams,exact,102633,Jaylen Adams,Parma,Guard,Point Guard,PG,"6' 2""",102633:Jaylen Adams:Parma
P007872,"ADAMS, JOSH",Josh Adams,ambiguous,,,,,,,,53726:Steven Adams:Houston Rockets; 102633:Jaylen Adams:Parma; 89340:Julian Adams:Drexel; 89958:Brendan Adams:Parma; 108562:KJ Adams Jr.:None; 71054:Adams Sola:Movistar Estudiantes; 120636:Prince Ali:None; 147565:Marcus Adams Jr.:None; 202516:Destiny Adams:None; 109382:Darian Adams:Jacksonville State; 149364:Darius Adams:None
P002532,"ADJAGBA, ULYSSE",Ulysse Adjagba,not_found,,,,,,,,
PJIX,"AGADAKOS, LAZAROS",Lazaros Agadakos,not_found,,,,,,,,
P004429,"AGRAVANIS, DIMITRIS",Dimitris Agravanis,ambiguous,,,,,,,,53231:Dimitrios Agravanis:Ningbo Rockets; 72615:Ioannis Agravanis:None
PKSF,"AGUILAR, PABLO",Pablo Aguilar,exact,78377,Pablo Aguilar,,Forward,Power Forward,PF,"6' 8""",78377:Pablo Aguilar:None
P005171,"AHEARN, BLAKE",Blake Ahearn,not_found,,,,,,,,
PLHF,"AJINCA, ALEXIS",Alexis Ajinca,exact,143302,Melvin Ajinca,Le Mans,Forward,Small Forward,SF,"6' 8""",143302:Melvin Ajinca:Le Mans
P010316,"AJINCA, MELVIN",Melvin Ajinca,exact,143302,Melvin Ajinca,Le Mans,Forward,Small Forward,SF,"6' 8""",143302:Melvin Ajinca:Le Mans
