player_id,original_name,normalized_search_name,selected_page_title,wikipedia_url,raw_position,position_wiki,status,manual_review_reason,candidate_titles,first_position_rule_applied,match_method,name_source,birth_year_wiki,birth_evidence,identity_accept_reason
P003733,"ABALDE, ALBERTO",Alberto Abalde,Alberto Abalde,https://en.wikipedia.org/wiki/Alberto_Abalde,Small forward / shooting guard,Small Forward,matched,,Alberto Abalde; Tamara Abalde; 2026 EuroLeague Final Four; 2023 EuroLeague Final Four; 2025–26 EuroLeague regular season,True,direct,bio_name,1995.0,exact_match,exact_birth_year
P003527,"ABASS, AWUDU",Awudu Abass,Awudu Abass,https://en.wikipedia.org/wiki/Awudu_Abass,Small forward,Small Forward,matched,,Awudu Abass; Dubai Basketball; Italy men's national basketball team; List of 2025–26 EuroLeague transactions; List of 2024–25 EuroLeague transactions,False,direct,bio_name,1993.0,exact_match,exact_birth_year
P002414,"ABIA, LARRY",Larry Abia,Larry Abia,https://en.wikipedia.org/wiki/Larry_Abia,Small forward,Small Forward,matched,,Larry Abia; Rosters of the top basketball teams in European club competitions; Deaths in April 2024; List of Seventh-day Adventists; May 1982,False,direct,bio_name,1993.0,exact_match,exact_birth_year
PAWH,"ABI, MUSTAFA",Mustafa Abi,Mustafa Abi,https://en.wikipedia.org/wiki/Mustafa_Abi,Shooting guard / point guard,Shooting Guard,matched,,Mustafa Abi; Fenerbahçe S.K. (basketball); Anadolu Efes S.K.; Fenerbahçe (men's basketball) past rosters; Rosters of the top basketball teams in European club competitions; Euroleague 2008–09 Rosters,True,direct,bio_name,1979.0,exact_match,exact_birth_year
P012298,"ABOSI, VENIAMIN",Veniamin Abosi,Olympiacos B.C.,https://en.wikipedia.org/wiki/Olympiacos_B.C.,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,Olympiacos B.C.,False,search,bio_name,,unavailable,
PLNW,"ABOUBAKAR ZAKI, AMADOU",Amadou Aboubakar Zaki,Amadou Aboubakar Zaki,https://en.wikipedia.org/wiki/Amadou_Aboubakar_Zaki,Power forward / center,Power Forward,matched,,Amadou Aboubakar Zaki,True,direct,bio_name,1988.0,exact_match,exact_birth_year
P004191,"ABOUDOU, JORDAN",Jordan Aboudou,Jordan Aboudou,https://en.wikipedia.org/wiki/Jordan_Aboudou,Small forward,Small Forward,matched,,Jordan Aboudou; Rosters of the top basketball teams in European club competitions; 2017 Basketball Champions League Final Four; France at the 2024 Summer Olympics,False,direct,bio_name,1991.0,exact_match,exact_birth_year
P003478,"ABRINES, ALEX",Alex Abrines,Álex Abrines,https://en.wikipedia.org/wiki/Álex_Abrines,Small forward / shooting guard,Small Forward,matched,,Álex Abrines; EuroLeague Rising Star; 2023 EuroLeague Final Four; Spain men's national basketball team; FC Barcelona Bàsquet,True,direct,bio_name,1993.0,exact_match,exact_birth_year
P005199,"ABROMAITIS, TIM",Tim Abromaitis,Tim Abromaitis,https://en.wikipedia.org/wiki/Tim_Abromaitis,Power forward,Power Forward,matched,,Tim Abromaitis; 2018–19 Basketball Champions League; List of 2019–20 EuroLeague transactions; SIG Strasbourg; 2019–20 BC Zenit Saint Petersburg season,False,direct,bio_name,1989.0,exact_match,exact_birth_year
P013027,"ACCORSI, MATTEO",Matteo Accorsi,2025–26 Virtus Bologna season,https://en.wikipedia.org/wiki/2025–26_Virtus_Bologna_season,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,2025–26 Virtus Bologna season; Bologna; List of people from Italy,False,search,bio_name,,unavailable,
