player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P003733,003733,alberto-abalde,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/alberto-abalde/profile/003733/,ALBERTO,ABALDE,202,Forward,Spain,1995-12-15T00:00:00,MAD,Real Madrid,ok
P003527,003527,awudu-abass,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/awudu-abass/profile/003527/,AWUDU,ABASS,200,Forward,Italy,1993-01-27T00:00:00,DUB,Dubai Basketball,ok
P002414,002414,larry-abia,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/larry-abia/profile/002414/,LARRY,ABIA,195,Forward,Spain,1993-08-08T00:00:00,PAM,Power Electronics Valencia,ok
PAWH,AWH,mustafa-abi,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/mustafa-abi/profile/AWH/,MUSTAFA,ABI,197,Forward,Turkiye,1979-01-02T00:00:00,IST,Efes Pilsen,ok
P012298,012298,veniamin-abosi,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/veniamin-abosi/profile/012298/,VENIAMIN,ABOSI,200,Forward,Greece,2006-01-15T00:00:00,OLY,Olympiacos Piraeus,ok
PLNW,LNW,amadou-aboubakar-zaki,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/amadou-aboubakar-zaki/profile/LNW/,AMADOU,ABOUBAKAR ZAKI,214,Center,Niger,1988-02-10T00:00:00,NAN,SLUC Nancy,ok
P004191,004191,jordan-aboudou,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jordan-aboudou/profile/004191/,JORDAN,ABOUDOU,203,Forward,France,1991-01-30T00:00:00,CHL,Elan Chalon-Sur-Saone,ok
P003478,003478,alex-abrines,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/alex-abrines/profile/003478/,ALEX,ABRINES,198,Forward,Spain,1993-08-01T00:00:00,BAR,FC Barcelona,ok
P005199,005199,tim-abromaitis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/tim-abromaitis/profile/005199/,TIM,ABROMAITIS,203,Forward,United States of America,1989-09-17T00:00:00,DYR,Zenit St Petersburg,ok
P013027,013027,matteo-accorsi,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/matteo-accorsi/profile/013027/,MATTEO,ACCORSI,191,Guard,Italy,2007-05-13T00:00:00,VIR,Virtus Bologna,ok
PAWM,AWM,tutku-acik,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/tutku-acik/profile/AWM/,TUTKU,ACIK,,Guard,Turkiye,1980-09-01T00:00:00,BES,Besiktas JK Istanbul,ok
PLGC,LGC,alex-acker,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/alex-acker/profile/LGC/,ALEX,ACKER,195,Guard,United States of America,1983-01-21T00:00:00,SOP,Asseco Prokom Gdynia,ok
P009847,009847,quincy-acy,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/quincy-acy/profile/009847/,QUINCY,ACY,201,Forward,United States of America,1990-10-06T00:00:00,OLY,Olympiacos Piraeus,ok
P005795,005795,darius-adams,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/darius-adams/profile/005795/,DARIUS,ADAMS,189,Guard,United States of America,1989-04-17T00:00:00,BAS,Laboral Kutxa Vitoria Gasteiz,ok
P012056,012056,jalen-adams,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jalen-adams/profile/012056/,JALEN,ADAMS,191,Guard,United States of America,1995-12-11T00:00:00,TEL,Maccabi Playtika Tel Aviv,ok
P011963,011963,jaylen-adams,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jaylen-adams/profile/011963/,JAYLEN,ADAMS,188,Guard,United States of America,1996-05-04T00:00:00,RED,Crvena Zvezda Meridianbet Belgrade,ok
P007872,007872,josh-adams,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/josh-adams/profile/007872/,JOSH,ADAMS,188,Guard,United States of America,1993-11-16T00:00:00,IST,Anadolu Efes Istanbul,ok
P002532,002532,ulysse-adjagba,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/ulysse-adjagba/profile/002532/,ULYSSE,ADJAGBA,184,Guard,France,1993-03-27T00:00:00,CHL,Elan Chalon-Sur-Saone,ok
PJIX,JIX,lazaros-agadakos,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/lazaros-agadakos/profile/JIX/,LAZAROS,AGADAKOS,207,Center,Greece,1980-01-01T00:00:00,ARI,Aris TT Bank,ok
P004429,004429,dimitris-agravanis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/dimitris-agravanis/profile/004429/,DIMITRIS,AGRAVANIS,208,Forward,Greece,1994-12-20T00:00:00,PAN,Panathinaikos Athens,ok
PKSF,KSF,pablo-aguilar,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/pablo-aguilar/profile/KSF/,PABLO,AGUILAR,205,Forward,Spain,1989-02-09T00:00:00,PAM,Valencia Basket,ok
P005171,005171,blake-ahearn,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/blake-ahearn/profile/005171/,BLAKE,AHEARN,188,Guard,United States of America,1984-05-27T00:00:00,NIK,Budivelnik Kiev,ok
PLHF,LHF,alexis-ajinca,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/alexis-ajinca/profile/LHF/,ALEXIS,AJINCA,215,Center,France,1988-05-06T00:00:00,STR,Strasbourg,ok
P010316,010316,melvin-ajinca,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/melvin-ajinca/profile/010316/,MELVIN,AJINCA,203,Forward,France,2004-06-26T00:00:00,ASV,LDLC ASVEL Villeurbanne,ok
P007647,007647,mert-akay,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/mert-akay/profile/007647/,MERT,AKAY,196,Guard,Turkiye,2000-07-12T00:00:00,DAR,Darussafaka Tekfen Istanbul,ok
P011816,011816,nicola-akele,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/nicola-akele/profile/011816/,NICOLA,AKELE,203,Forward,Italy,1995-11-07T00:00:00,VIR,Virtus Bologna,ok
P000728,000728,jeleel-akindele,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jeleel-akindele/profile/000728/,JELEEL,AKINDELE,216,Center,Nigeria,1983-04-02T00:00:00,SIE,Montepaschi Siena,ok
PJVE,JVE,fikret-can-akin,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/fikret-can-akin/profile/JVE/,CAN,AKIN,0,Guard,Turkiye,1983-01-30T00:00:00,BES,Besiktas JK Istanbul,ok
P000645,000645,akin-akingbala,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/akin-akingbala/profile/000645/,AKIN,AKINGBALA,209,Center,Nigeria,1983-03-25T00:00:00,NAN,SLUC Nancy,ok
P007394,007394,josh-akognon,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/josh-akognon/profile/007394/,JOSH,AKOGNON,180,Guard,United States of America,1986-02-10T00:00:00,BAS,Baskonia Vitoria Gasteiz,ok
P004056,004056,ismet-akpinar,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/ismet-akpinar/profile/004056/,ISMET,AKPINAR,193,Guard,Germany,1995-05-22T00:00:00,ULK,Fenerbahce Beko Istanbul,ok
PBXK,BXK,cenk-akyol,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/cenk-akyol/profile/BXK/,CENK,AKYOL,0,Forward,Turkiye,1987-04-16T00:00:00,GAL,Galatasaray Liv Hospital Istanbul,ok
