severity,dataset,column_or_key,issue,count,percentage,example,recommended_next_step
critical,euroleague_players.csv,minutes_per_game != minutes/games_played (tolerance=0.01),Range/consistency check failed: minutes_per_game != minutes/games_played (tolerance=0.01),462,7.6936,E2012_P003527_CTU,Review affected rows before using this column as a clustering feature.
warning,euroleague_players.csv,minutes <= 0,Range/consistency check failed: minutes <= 0,303,4.8042,E2011_P003527_CTU,Review affected rows before using this column as a clustering feature.
warning,euroleague_players.csv,games_played <= 0,Range/consistency check failed: games_played <= 0,302,4.7883,E2011_P003527_CTU,Review affected rows before using this column as a clustering feature.
warning,euroleague_points.csv,points_a/points_b,Games where cumulative score decreases within number_of_play order,1340,26.5926,,Review flagged games manually; do not auto-correct scores.
warning,euroleague_points.csv,timestamp,Large share of rows carry a 1970-01-01 epoch placeholder rather than a real game date,292291,38.7066,1970-01-01,"Do not rely on timestamp as a game-date field without further source verification; game date, if needed, should instead be derived from game_id/game/round/season_code."
warning,euroleague_players.csv vs euroleague_points.csv,season_code+player_id+team_id,Player-season-team combinations present in season-level stats but absent from event data,459,7.2776,"{'season_code': 'E2007', 'player_id': '000117', 'team_id': 'BAM'}",Do not remove; document as an expected gap. Confirm cause (e.g. seasons/rounds not covered by the event scrape) before deciding whether these rows are usable in the final feature table.
info,euroleague_players.csv,season_code+player_id,"Players with more than one team in the same season (valid mid-season transfers, not duplicates)",58,0.1292,"[('E2007', 'PASG')]",Keep as separate rows; do not deduplicate by player+season alone.
info,euroleague_points.csv,number_of_play,number_of_play is not perfectly sequential within every game,625782,83.4258,max gap=194.0,"Treat as expected: file likely records selected event types, not every play. Do not treat gaps as missing rows without further source verification."
info,players_bio.csv,height_cm,"Players with height outside the 1st-99th percentile band (flagged for review, not removed)",20,0.8562,ANIKIIENKO (218.0 cm),Manual review before modeling.
info,merged_euroleague_players.csv,reconstruction,In-memory reconstruction from raw files matches the existing merged file exactly,0,0.0,,Safe to treat as reproducible; still prefer regenerating from raw files in any pipeline for full traceability.
