source_file,column,description,granularity,dtype,missing_count,missing_percentage,unique_count,possible_role,preliminary_include_recommendation,reason,open_question
euroleague_players.csv,season_player_id,Unique row identifier (season+player+team),player-season-team,str,0,0.0,6307,identifier,exclude,"Surrogate key, not a statistic.",
euroleague_players.csv,season_code,"Season identifier, e.g. E2024",player-season-team,str,0,0.0,19,grouping_key,exclude,"Used for grouping/joins, not a feature value.",
euroleague_players.csv,player_id,Player identifier,player-season-team,str,0,0.0,2363,identifier,exclude,"Used for joins, not a feature value.",
euroleague_players.csv,player,Player display name,player-season-team,str,0,0.0,2362,identifier,exclude,"Free text name, not a statistic.",
euroleague_players.csv,team_id,Historical team identifier for that season,player-season-team,str,0,0.0,66,grouping_key,exclude,Grouping/context field; not itself a playing-style statistic.,
euroleague_players.csv,games_played,Games played in the season,player-season-team,int64,0,0.0,45,outcome_or_quality,exclude,"Playing-time context; useful as a denominator, not a role-defining statistic on its own.",
euroleague_players.csv,games_started,Games started in the season,player-season-team,int64,0,0.0,43,outcome_or_quality,exclude,Reflects coaching decisions/status more than playing style.,
euroleague_players.csv,minutes,Total minutes played,player-season-team,float64,0,0.0,4108,outcome_or_quality,exclude,"Playing-time volume; candidate denominator for per-minute features, not itself a style feature.",
euroleague_players.csv,points,Points scored by this event,event,int64,0,0.0,542,shooting_volume,include,Used to aggregate scoring by shot type.,
euroleague_players.csv,two_points_made,Made 2-point field goals,player-season-team,int64,0,0.0,180,shooting_volume,include,Shot-type volume.,
euroleague_players.csv,two_points_attempted,Attempted 2-point field goals,player-season-team,int64,0,0.0,298,shooting_volume,include,Shot-type volume.,
euroleague_players.csv,three_points_made,Made 3-point field goals,player-season-team,int64,0,0.0,100,shooting_volume,include,"Shot-type volume, spacing indicator.",
euroleague_players.csv,three_points_attempted,Attempted 3-point field goals,player-season-team,int64,0,0.0,238,shooting_volume,include,Spacing indicator.,
euroleague_players.csv,free_throws_made,Made free throws,player-season-team,int64,0,0.0,158,shooting_volume,include,Related to foul-drawing/finishing style.,
euroleague_players.csv,free_throws_attempted,Attempted free throws,player-season-team,int64,0,0.0,185,shooting_volume,include,Related to foul-drawing/finishing style.,
euroleague_players.csv,offensive_rebounds,Offensive rebounds,player-season-team,int64,0,0.0,105,rebounding,include,Core rebounding statistic.,
euroleague_players.csv,defensive_rebounds,Defensive rebounds,player-season-team,int64,0,0.0,177,rebounding,include,Core rebounding statistic.,
euroleague_players.csv,total_rebounds,Total rebounds,player-season-team,int64,0,0.0,244,rebounding,include,Redundant with offensive+defensive rebounds; keep one representation later.,
euroleague_players.csv,assists,Assists,player-season-team,int64,0,0.0,214,playmaking,include,Core playmaking statistic.,
euroleague_players.csv,steals,Steals,player-season-team,int64,0,0.0,63,defense,include,Core perimeter-defense statistic.,
euroleague_players.csv,turnovers,Turnovers,player-season-team,int64,0,0.0,109,playmaking,include,Ball-handling/usage indicator; interpret alongside assists.,
euroleague_players.csv,blocks_favour,Blocks made by the player,player-season-team,int64,0,0.0,57,defense,include,Core rim-protection statistic.,
euroleague_players.csv,blocks_against,Times the player was blocked,player-season-team,int64,0,0.0,33,outcome_or_quality,exclude,"Describes shots the player took, not the player's defensive activity.",
euroleague_players.csv,fouls_committed,Personal fouls committed,player-season-team,int64,0,0.0,121,defense,include,Defensive-activity / physicality indicator.,
euroleague_players.csv,fouls_received,Fouls drawn,player-season-team,int64,0,0.0,188,outcome_or_quality,include,"Foul-drawing tendency, related to finishing style.",
euroleague_players.csv,valuation,Official efficiency rating (PIR-style composite),player-season-team,int64,0,0.0,620,outcome_or_quality,exclude,Composite outcome/quality score; risks encoding overall quality rather than playing style.,"Should this be excluded entirely from clustering inputs, or used only for post-hoc cluster profiling?"
euroleague_players.csv,plus_minus,Team point differential while player was on court,player-season-team,int64,0,0.0,415,outcome_or_quality,exclude,"Team-context outcome measure, not an individual style descriptor.","Should this be excluded entirely from clustering inputs, or used only for post-hoc cluster profiling?"
euroleague_players.csv,minutes_per_game,Per-game average of minutes (minutes / games_played),player-season-team,float64,0,0.0,2597,outcome_or_quality,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,points_per_game,Per-game average of points (points / games_played),player-season-team,float64,0,0.0,1344,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
