season_code,shot_attempt_count,coord_missing_pct,coord_x_min,coord_x_max,coord_y_min,coord_y_max,coord_x_median,coord_y_median,n_unique_coord_pairs,median_dist_2pt_from_0_0,median_dist_3pt_from_0_0
E2007,27209,0.0,-733,735,-110,1233,-2.0,115.0,18706,115.6,684.2
E2008,21880,0.0,-721,740,-112,1223,0.0,144.0,10169,150.1,708.4
E2009,21416,0.0,-727,746,-125,1286,0.0,150.0,10132,156.1,708.0
E2010,22302,0.0,-721,734,-112,1273,0.0,144.0,10532,165.1,709.4
E2011,22387,0.0,-740,746,-138,1273,0.0,169.0,11458,195.9,743.2
E2012,30116,0.0,-734,746,-144,1286,0.0,163.0,13298,176.8,741.8
E2013,30493,0.0,-740,734,-119,1292,-6.0,175.0,13334,189.5,737.1
E2014,31065,0.0,-734,740,-125,1292,0.0,181.0,13530,194.1,737.4
E2015,30403,0.0,-734,746,-119,1292,-6.0,188.0,13387,196.2,745.1
E2016,31928,0.0,-740,740,-156,1292,0.0,188.0,13890,192.9,742.5
E2017,31876,0.0,-740,740,-100,1298,-6.0,188.0,12929,178.8,727.4
E2018,31820,0.0,-740,740,-106,1304,-6.0,188.0,12775,182.1,722.2
E2019,31108,0.0,-734,734,-106,1304,0.0,181.0,11901,172.0,714.2
E2020,39465,0.0,-740,740,-125,1298,0.0,188.0,13917,177.0,713.5
E2021,36198,0.0,-740,746,-106,1304,0.0,207.0,13935,190.1,720.9
E2022,39939,0.0,-740,746,-119,1298,0.0,207.0,13953,174.4,726.3
E2023,41331,0.0,-740,746,-119,1304,0.0,200.0,14284,172.4,726.4
E2024,41533,0.0,-740,740,-138,1304,0.0,213.0,14626,177.0,733.5
E2025,51750,0.0,-740,740,-125,1304,0.0,207.0,16023,170.5,732.6
