zone,coord_x_mean,coord_x_std,coord_x_min,coord_x_max,coord_x_count,coord_y_mean,coord_y_std,coord_y_min,coord_y_max,coord_y_count
A,65.58489467374551,198.23851116172193,-144,740,29195,22.7109436547354,71.71712022289482,-125,425,29195
B,-84.99122955417643,89.46980067266571,-301,625,112309,95.10945694467941,56.95600585821528,-119,425,112309
C,96.18600027289916,56.319434640684314,5,301,102602,94.65502621781252,56.43345145966589,-112,425,102602
D,-161.45856016980798,130.0617257058937,-457,2,50881,177.47691672726557,114.79433047212511,-125,423,50881
E,160.32495646976272,192.10721064589922,-608,464,38479,211.294732191585,107.61021767967728,-156,425,38479
F,-346.3345358168299,189.7389739954441,-733,0,27166,317.53901936243835,171.9317859138535,-138,652,27166
G,320.4224872231687,171.42506972158068,2,697,29937,385.18715970204096,194.81944596659346,-112,1225,29937
H,-430.763881161678,211.8085772445905,-740,414,107844,514.8839805645191,238.41544604480055,-138,1235,107844
I,432.8935362260491,209.94491939461855,-407,746,109286,511.59652654502867,242.52534758546898,-144,1235,109286
J,-285.71168507857476,219.4235738349579,-734,677,6427,672.9195581142056,213.58254126088332,426,1304,6427
