season_code,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover
E2007,0.0,0.0,19.94,100.0,100.0,100.0
E2008,0.0,0.0,20.75,99.57,99.57,99.57
E2009,0.0,0.0,21.23,99.5,99.5,99.5
E2010,0.0,0.0,19.76,100.0,100.0,100.0
E2011,0.0,0.0,19.31,100.0,100.0,100.0
E2012,0.0,0.0,18.19,100.0,100.0,100.0
E2013,0.0,0.0,17.29,99.6,99.6,99.6
E2014,0.0,0.0,18.13,98.76,98.76,98.76
E2015,0.0,0.0,18.41,23.64,23.64,23.64
E2016,0.0,0.0,17.99,0.0,0.0,0.0
E2017,0.0,0.0,19.14,0.0,0.0,0.0
E2018,0.0,0.0,18.24,0.0,0.0,0.0
E2019,0.0,0.0,18.17,0.0,0.0,0.0
E2020,0.0,0.0,18.23,0.0,0.0,0.0
E2021,0.0,0.0,16.91,0.0,0.0,0.0
E2022,0.0,0.0,19.18,0.0,0.0,0.0
E2023,0.0,0.0,17.62,0.0,0.0,0.0
E2024,0.0,0.0,18.89,0.0,0.0,0.0
E2025,0.0,0.0,19.32,0.0,0.0,0.0
