dataset,column,dtype,missing_count,missing_percentage,non_missing_count,unique_count
euroleague_players.csv,season_player_id,str,0,0.0,6307,6307
euroleague_players.csv,season_code,str,0,0.0,6307,19
euroleague_players.csv,player_id,str,0,0.0,6307,2363
euroleague_players.csv,player,str,0,0.0,6307,2362
euroleague_players.csv,team_id,str,0,0.0,6307,66
euroleague_players.csv,games_played,int64,0,0.0,6307,45
euroleague_players.csv,games_started,int64,0,0.0,6307,43
euroleague_players.csv,minutes,float64,0,0.0,6307,4108
euroleague_players.csv,points,int64,0,0.0,6307,542
euroleague_players.csv,two_points_made,int64,0,0.0,6307,180
euroleague_players.csv,two_points_attempted,int64,0,0.0,6307,298
euroleague_players.csv,three_points_made,int64,0,0.0,6307,100
euroleague_players.csv,three_points_attempted,int64,0,0.0,6307,238
euroleague_players.csv,free_throws_made,int64,0,0.0,6307,158
euroleague_players.csv,free_throws_attempted,int64,0,0.0,6307,185
euroleague_players.csv,offensive_rebounds,int64,0,0.0,6307,105
euroleague_players.csv,defensive_rebounds,int64,0,0.0,6307,177
euroleague_players.csv,total_rebounds,int64,0,0.0,6307,244
euroleague_players.csv,assists,int64,0,0.0,6307,214
euroleague_players.csv,steals,int64,0,0.0,6307,63
euroleague_players.csv,turnovers,int64,0,0.0,6307,109
euroleague_players.csv,blocks_favour,int64,0,0.0,6307,57
euroleague_players.csv,blocks_against,int64,0,0.0,6307,33
euroleague_players.csv,fouls_committed,int64,0,0.0,6307,121
euroleague_players.csv,fouls_received,int64,0,0.0,6307,188
euroleague_players.csv,valuation,int64,0,0.0,6307,620
euroleague_players.csv,plus_minus,int64,0,0.0,6307,415
euroleague_players.csv,minutes_per_game,float64,0,0.0,6307,2597
euroleague_players.csv,points_per_game,float64,0,0.0,6307,1344
euroleague_players.csv,two_points_made_per_game,float64,0,0.0,6307,501
euroleague_players.csv,two_points_attempted_per_game,float64,0,0.0,6307,820
euroleague_players.csv,two_points_percentage,float64,0,0.0,6307,479
euroleague_players.csv,three_points_made_per_game,float64,0,0.0,6307,273
euroleague_players.csv,three_points_attempted_per_game,float64,0,0.0,6307,630
euroleague_players.csv,three_points_percentage,float64,0,0.0,6307,378
euroleague_players.csv,free_throws_made_per_game,float64,0,0.0,6307,425
euroleague_players.csv,free_throws_attempted_per_game,float64,0,0.0,6307,520
euroleague_players.csv,free_throws_percentage,float64,0,0.0,6307,479
euroleague_players.csv,offensive_rebounds_per_game,float64,0,0.0,6307,295
euroleague_players.csv,defensive_rebounds_per_game,float64,0,0.0,6307,492
euroleague_players.csv,total_rebounds_per_game,float64,0,0.0,6307,653
euroleague_players.csv,assists_per_game,float64,0,0.0,6307,540
euroleague_players.csv,steals_per_game,float64,0,0.0,6307,200
euroleague_players.csv,turnovers_per_game,float64,0,0.0,6307,310
euroleague_players.csv,blocks_favour_per_game,float64,0,0.0,6307,166
euroleague_players.csv,blocks_against_per_game,float64,0,0.0,6307,104
euroleague_players.csv,fouls_committed_per_game,float64,0,0.0,6307,323
euroleague_players.csv,fouls_received_per_game,float64,0,0.0,6307,511
euroleague_players.csv,valuation_per_game,float64,0,0.0,6307,1581
euroleague_players.csv,plus_minus_per_game,float64,0,0.0,6307,1321
euroleague_points.csv,points_off_turnover,float64,263843,34.93938250269816,491302,2
euroleague_points.csv,fastbreak,float64,263843,34.93938250269816,491302,2
euroleague_points.csv,second_chance,float64,263843,34.93938250269816,491302,2
euroleague_points.csv,zone,str,141019,18.67442676572049,614126,10
euroleague_points.csv,game_point_id,str,0,0.0,755145,755145
euroleague_points.csv,game_id,str,0,0.0,755145,5039
euroleague_points.csv,game,str,0,0.0,755145,1386
euroleague_points.csv,round,int64,0,0.0,755145,47
euroleague_points.csv,team_id,str,0,0.0,755145,66
euroleague_points.csv,number_of_play,int64,0,0.0,755145,1081
euroleague_points.csv,season_code,str,0,0.0,755145,19
euroleague_points.csv,phase,str,0,0.0,755145,7
euroleague_points.csv,action,str,0,0.0,755145,8
euroleague_points.csv,player_id,str,0,0.0,755145,2092
euroleague_points.csv,action_id,str,0,0.0,755145,10
euroleague_points.csv,player,str,0,0.0,755145,2091
euroleague_points.csv,coord_y,int64,0,0.0,755145,584
euroleague_points.csv,coord_x,int64,0,0.0,755145,711
euroleague_points.csv,points,int64,0,0.0,755145,4
euroleague_points.csv,minute,int64,0,0.0,755145,60
euroleague_points.csv,console,str,0,0.0,755145,602
euroleague_points.csv,points_a,int64,0,0.0,755145,132
euroleague_points.csv,points_b,int64,0,0.0,755145,126
euroleague_points.csv,timestamp,str,0,0.0,755145,455000
merged_euroleague_players.csv,second_chance,float64,263843,34.93938250269816,491302,2
merged_euroleague_players.csv,points_off_turnover,float64,263843,34.93938250269816,491302,2
merged_euroleague_players.csv,fastbreak,float64,263843,34.93938250269816,491302,2
merged_euroleague_players.csv,zone,str,141019,18.67442676572049,614126,10
merged_euroleague_players.csv,position,str,19197,2.5421607770693044,735948,3
merged_euroleague_players.csv,height_cm,float64,3902,0.5167219540618027,751243,54
merged_euroleague_players.csv,born,str,11,0.0014566738838236366,755134,1876
merged_euroleague_players.csv,last_name,str,11,0.0014566738838236366,755134,1807
merged_euroleague_players.csv,nationality,str,11,0.0014566738838236366,755134,76
merged_euroleague_players.csv,club_name,str,11,0.0014566738838236366,755134,136
merged_euroleague_players.csv,club_code,str,11,0.0014566738838236366,755134,68
merged_euroleague_players.csv,first_name,str,11,0.0014566738838236366,755134,1253
merged_euroleague_players.csv,profile_url,str,11,0.0014566738838236366,755134,2090
merged_euroleague_players.csv,phase,str,0,0.0,755145,7
merged_euroleague_players.csv,round,int64,0,0.0,755145,47
merged_euroleague_players.csv,game,str,0,0.0,755145,1386
merged_euroleague_players.csv,game_id,str,0,0.0,755145,5039
merged_euroleague_players.csv,game_point_id,str,0,0.0,755145,755145
merged_euroleague_players.csv,season_code,str,0,0.0,755145,19
merged_euroleague_players.csv,team_id,str,0,0.0,755145,66
merged_euroleague_players.csv,number_of_play,int64,0,0.0,755145,1081
merged_euroleague_players.csv,console,str,0,0.0,755145,602
merged_euroleague_players.csv,minute,int64,0,0.0,755145,60
merged_euroleague_players.csv,coord_y,int64,0,0.0,755145,584
merged_euroleague_players.csv,coord_x,int64,0,0.0,755145,711
merged_euroleague_players.csv,player,str,0,0.0,755145,2091
merged_euroleague_players.csv,action_id,str,0,0.0,755145,10
merged_euroleague_players.csv,action,str,0,0.0,755145,8
merged_euroleague_players.csv,points,int64,0,0.0,755145,4
merged_euroleague_players.csv,player_id,str,0,0.0,755145,2092
merged_euroleague_players.csv,competition_path,str,0,0.0,755145,2
merged_euroleague_players.csv,slug_used,str,0,0.0,755145,2091
merged_euroleague_players.csv,code,str,0,0.0,755145,2092
merged_euroleague_players.csv,points_b,int64,0,0.0,755145,126
merged_euroleague_players.csv,points_a,int64,0,0.0,755145,132
merged_euroleague_players.csv,timestamp,str,0,0.0,755145,455000
merged_euroleague_players.csv,fetch_status,str,0,0.0,755145,2
players_bio.csv,position,str,54,2.2852306390181973,2309,3
players_bio.csv,height_cm,float64,27,1.1426153195090987,2336,54
players_bio.csv,nationality,str,10,0.4231908590774439,2353,79
players_bio.csv,last_name,str,10,0.4231908590774439,2353,2037
players_bio.csv,profile_url,str,10,0.4231908590774439,2353,2353
players_bio.csv,first_name,str,10,0.4231908590774439,2353,1368
players_bio.csv,born,str,10,0.4231908590774439,2353,2093
players_bio.csv,club_code,str,10,0.4231908590774439,2353,68
players_bio.csv,club_name,str,10,0.4231908590774439,2353,136
players_bio.csv,code,str,0,0.0,2363,2363
players_bio.csv,slug_used,str,0,0.0,2363,2361
players_bio.csv,competition_path,str,0,0.0,2363,2
players_bio.csv,player_id,str,0,0.0,2363,2363
players_bio.csv,fetch_status,str,0,0.0,2363,2
