column,group,source,definition,calculation,missing_value_meaning,intended_use,eligible_for_clustering,reason
season_player_id,identifier,euroleague_players.csv,season_player_id identifier.,as provided,not applicable (identifier),join / lookup key,exclude,"Identifier, not a statistic."
season_code,identifier,euroleague_players.csv,season_code identifier.,as provided,not applicable (identifier),join / lookup key,exclude,"Identifier, not a statistic."
player_id,identifier,euroleague_players.csv,player_id identifier.,as provided,not applicable (identifier),join / lookup key,exclude,"Identifier, not a statistic."
player,identifier,euroleague_players.csv,player identifier.,as provided,not applicable (identifier),join / lookup key,exclude,"Identifier, not a statistic."
team_id,identifier,euroleague_players.csv,team_id identifier.,as provided,not applicable (identifier),join / lookup key,exclude,"Identifier, not a statistic."
height_cm,descriptive,players_bio.csv,Player height in centimeters.,as provided,player's profile page could not be fully scraped,candidate physical feature,candidate,Kept unfilled until the eligible sample and imputation stage are defined.
position,descriptive,players_bio.csv,Traditional position (Guard/Forward/Center).,as provided,player's profile page could not be fully scraped,post-hoc comparison only,comparison_only,Never used as a clustering input; only for comparing clusters to positions afterwards.
nationality,descriptive,players_bio.csv,Player nationality.,as provided,profile page could not be fully scraped,descriptive only,exclude,"Demographic field, not a playing-style statistic."
born,descriptive,players_bio.csv,Date of birth.,as provided,profile page could not be fully scraped,descriptive only,undecided,Could derive age-at-season later; not itself a style feature.
games_played,coverage,euroleague_players.csv,Season total for games played.,as provided,not applicable (always present),denominator / eligibility filter,exclude,"Playing-time context, used as a denominator and filter, not a style feature."
games_started,coverage,euroleague_players.csv,Season total for games started.,as provided,not applicable (always present),denominator / eligibility filter,exclude,"Playing-time context, used as a denominator and filter, not a style feature."
minutes,coverage,euroleague_players.csv,Season total for minutes.,as provided,not applicable (always present),denominator / eligibility filter,exclude,"Playing-time context, used as a denominator and filter, not a style feature."
has_positive_minutes,coverage,derived,Flag: has positive minutes.,boolean condition,not applicable (always present),eligibility filter,quality_flag,"Used to define the eligible training sample later, not itself a feature."
has_positive_games,coverage,derived,Flag: has positive games.,boolean condition,not applicable (always present),eligibility filter,quality_flag,"Used to define the eligible training sample later, not itself a feature."
has_event_data,coverage,derived,Flag: has event data.,boolean condition,not applicable (always present),eligibility filter,quality_flag,"Used to define the eligible training sample later, not itself a feature."
has_valid_spatial_data,coverage,derived,Flag: has valid spatial data.,boolean condition,not applicable (always present),eligibility filter,quality_flag,"Used to define the eligible training sample later, not itself a feature."
shot_event_count,coverage,euroleague_points.csv (aggregated),Count of shot event count.,groupby size on the shot-attempt subset,0 shots recorded for this player-season-team,denominator / reliability check,quality_flag,Used to judge how much data the spatial statistics are based on.
valid_spatial_shot_count,coverage,euroleague_points.csv (aggregated),Count of valid spatial shot count.,groupby size on the shot-attempt subset,0 shots recorded for this player-season-team,denominator / reliability check,quality_flag,Used to judge how much data the spatial statistics are based on.
valid_zone_shot_count,coverage,euroleague_points.csv (aggregated),Count of valid zone shot count.,groupby size on the shot-attempt subset,0 shots recorded for this player-season-team,denominator / reliability check,quality_flag,Used to judge how much data the spatial statistics are based on.
points,season_totals,euroleague_players.csv,Total points scored.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
two_points_made,season_totals,euroleague_players.csv,Made 2-point field goals.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
two_points_attempted,season_totals,euroleague_players.csv,Attempted 2-point field goals.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
two_points_percentage,season_totals,euroleague_players.csv,2-point shooting percentage.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
three_points_made,season_totals,euroleague_players.csv,Made 3-point field goals.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
three_points_attempted,season_totals,euroleague_players.csv,Attempted 3-point field goals.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
three_points_percentage,season_totals,euroleague_players.csv,3-point shooting percentage.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
free_throws_made,season_totals,euroleague_players.csv,Made free throws.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
free_throws_attempted,season_totals,euroleague_players.csv,Attempted free throws.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
