player_id,position,position_wiki,position_365scores,position_reconciled
P000140,Guard,Point Guard,Center,Center
P000202,Forward,Small Forward,Shooting Guard,Shooting Guard
P000229,Forward,Shooting Guard,Small Forward,Small Forward
P000316,Forward,Power Forward,Small Forward,Small Forward
P000378,Guard,Shooting Guard,Power Forward,Power Forward
P000396,Forward,Small Forward,Power Forward,Power Forward
P000416,Forward,Shooting Guard,Point Guard,Point Guard
P000483,Forward,Small Forward,Point Guard,Point Guard
P000494,Guard,Shooting Guard,Point Guard,Point Guard
P000582,Center,Power Forward,Small Forward,Small Forward
P000668,Guard,Point Guard,Power Forward,Power Forward
P000726,Guard,Small Forward,Point Guard,Point Guard
P000880,Guard,Shooting Guard,Small Forward,Small Forward
P000912,Guard,Shooting Guard,Point Guard,Point Guard
P000977,Forward,Power Forward,Small Forward,Small Forward
P001142,Forward,Small Forward,Point Guard,Point Guard
P001215,Center,Power Forward,Center,Center
P001235,Guard,Small Forward,Shooting Guard,Shooting Guard
P001487,Forward,Power Forward,Small Forward,Small Forward
P001518,Forward,Small Forward,Power Forward,Power Forward
P001612,Center,Power Forward,Center,Center
P001711,Guard,Point Guard,Small Forward,Small Forward
P001899,Guard,Small Forward,Center,Center
P002015,Forward,Small Forward,Point Guard,Point Guard
P002026,Forward,Power Forward,Small Forward,Small Forward
P002072,Center,Center,Power Forward,Power Forward
P002092,Guard,Shooting Guard,Point Guard,Point Guard
P002104,Guard,Shooting Guard,Power Forward,Power Forward
P002276,Guard,Point Guard,Shooting Guard,Shooting Guard
P002328,Guard,Shooting Guard,Small Forward,Small Forward
P002536,Forward,Center,Power Forward,Power Forward
P002543,Guard,Point Guard,Small Forward,Small Forward
P002561,Guard,Point Guard,Shooting Guard,Shooting Guard
P002582,Forward,Shooting Guard,Small Forward,Small Forward
P002628,Guard,Small Forward,Power Forward,Power Forward
P002741,Center,Power Forward,Center,Center
P002763,Forward,Power Forward,Small Forward,Small Forward
P002807,Guard,Shooting Guard,Small Forward,Small Forward
P002812,Center,Center,Power Forward,Power Forward
