dataset,check,n_violations,pct_violations,example
euroleague_players.csv,games_played < 0,0,0.0,
euroleague_players.csv,games_started < 0,0,0.0,
euroleague_players.csv,minutes < 0,0,0.0,
euroleague_players.csv,points < 0,0,0.0,
euroleague_players.csv,two_points_made < 0,0,0.0,
euroleague_players.csv,two_points_attempted < 0,0,0.0,
euroleague_players.csv,three_points_made < 0,0,0.0,
euroleague_players.csv,three_points_attempted < 0,0,0.0,
euroleague_players.csv,free_throws_made < 0,0,0.0,
euroleague_players.csv,free_throws_attempted < 0,0,0.0,
euroleague_players.csv,offensive_rebounds < 0,0,0.0,
euroleague_players.csv,defensive_rebounds < 0,0,0.0,
euroleague_players.csv,total_rebounds < 0,0,0.0,
euroleague_players.csv,assists < 0,0,0.0,
euroleague_players.csv,steals < 0,0,0.0,
euroleague_players.csv,turnovers < 0,0,0.0,
euroleague_players.csv,blocks_favour < 0,0,0.0,
euroleague_players.csv,blocks_against < 0,0,0.0,
euroleague_players.csv,fouls_committed < 0,0,0.0,
euroleague_players.csv,fouls_received < 0,0,0.0,
euroleague_players.csv,games_started > games_played,0,0.0,
euroleague_players.csv,two_points_made > two_points_attempted,0,0.0,
euroleague_players.csv,three_points_made > three_points_attempted,0,0.0,
euroleague_players.csv,free_throws_made > free_throws_attempted,0,0.0,
euroleague_players.csv,"two_points_percentage outside [0, 1]",0,0.0,
euroleague_players.csv,"three_points_percentage outside [0, 1]",0,0.0,
euroleague_players.csv,"free_throws_percentage outside [0, 1]",0,0.0,
euroleague_players.csv,minutes <= 0,303,4.804185825273506,E2011_P003527_CTU
euroleague_players.csv,games_played <= 0,302,4.7883304265102264,E2011_P003527_CTU
euroleague_players.csv,total_rebounds != offensive_rebounds + defensive_rebounds,0,0.0,
euroleague_players.csv,minutes_per_game != minutes/games_played (tolerance=0.01),462,7.693588676103247,E2012_P003527_CTU
euroleague_players.csv,points_per_game != points/games_played (tolerance=0.01),0,0.0,
euroleague_players.csv,assists_per_game != assists/games_played (tolerance=0.01),0,0.0,
euroleague_players.csv,total_rebounds_per_game != total_rebounds/games_played (tolerance=0.01),0,0.0,
euroleague_players.csv,steals_per_game != steals/games_played (tolerance=0.01),0,0.0,
euroleague_players.csv,turnovers_per_game != turnovers/games_played (tolerance=0.01),0,0.0,
euroleague_players.csv,blocks_favour_per_game != blocks_favour/games_played (tolerance=0.01),0,0.0,
euroleague_players.csv,valuation_per_game != valuation/games_played (tolerance=0.01),0,0.0,
