dataset,season_code,row_count,unique_players,unique_teams,unique_games
euroleague_players.csv,E2007,376,373,24,
euroleague_players.csv,E2008,371,370,24,
euroleague_players.csv,E2009,368,365,24,
euroleague_players.csv,E2010,363,360,24,
euroleague_players.csv,E2011,363,359,24,
euroleague_players.csv,E2012,365,361,24,
euroleague_players.csv,E2013,369,365,24,
euroleague_players.csv,E2014,375,372,24,
euroleague_players.csv,E2015,367,364,24,
euroleague_players.csv,E2016,261,259,16,
euroleague_players.csv,E2017,264,263,16,
euroleague_players.csv,E2018,260,259,16,
euroleague_players.csv,E2019,307,305,18,
euroleague_players.csv,E2020,309,308,18,
euroleague_players.csv,E2021,308,307,18,
euroleague_players.csv,E2022,308,306,18,
euroleague_players.csv,E2023,303,296,18,
euroleague_players.csv,E2024,312,306,18,
euroleague_players.csv,E2025,358,351,20,
euroleague_points.csv,E2007,33980,338,24,231.0
euroleague_points.csv,E2008,27609,335,24,188.0
euroleague_points.csv,E2009,27187,329,24,188.0
euroleague_points.csv,E2010,27792,326,24,189.0
euroleague_points.csv,E2011,27738,326,24,188.0
euroleague_points.csv,E2012,36806,332,24,253.0
euroleague_points.csv,E2013,36863,338,24,253.0
euroleague_points.csv,E2014,37935,346,24,251.0
euroleague_points.csv,E2015,37256,344,24,250.0
euroleague_points.csv,E2016,38926,238,16,259.0
euroleague_points.csv,E2017,39421,247,16,260.0
euroleague_points.csv,E2018,38916,246,16,259.0
euroleague_points.csv,E2019,38007,288,18,252.0
euroleague_points.csv,E2020,48256,291,18,328.0
euroleague_points.csv,E2021,43555,283,18,299.0
euroleague_points.csv,E2022,49409,283,18,328.0
euroleague_points.csv,E2023,50159,282,18,331.0
euroleague_points.csv,E2024,51193,291,18,330.0
euroleague_points.csv,E2025,64137,329,20,402.0
