season_code,player_id,team_id,two_points_attempted,three_points_attempted,two_point_event_count,three_point_event_count,field_goal_attempts_season,field_goal_attempts_event,field_goal_attempts_diff
E2017,P003733,PAM,89,54,89.0,54.0,143,143.0,0.0
E2019,P003733,PAM,97,53,97.0,53.0,150,150.0,0.0
E2020,P003733,MAD,100,115,100.0,115.0,215,215.0,0.0
E2021,P003733,MAD,90,74,90.0,74.0,164,164.0,0.0
E2022,P003733,MAD,27,36,27.0,36.0,63,63.0,0.0
E2023,P003733,MAD,22,46,22.0,46.0,68,68.0,0.0
E2024,P003733,MAD,73,87,73.0,87.0,160,160.0,0.0
E2025,P003733,MAD,72,81,72.0,81.0,153,153.0,0.0
E2011,P003527,CTU,0,0,0.0,0.0,0,0.0,0.0
E2012,P003527,CTU,7,5,7.0,5.0,12,12.0,0.0
E2016,P003527,MIL,43,38,43.0,38.0,81,81.0,0.0
E2017,P003527,MIL,7,8,7.0,8.0,15,15.0,0.0
E2022,P003527,VIR,14,17,14.0,17.0,31,31.0,0.0
E2023,P003527,VIR,43,79,43.0,79.0,122,122.0,0.0
E2025,P003527,DUB,39,48,39.0,48.0,87,87.0,0.0
E2010,P002414,PAM,0,0,0.0,0.0,0,0.0,0.0
E2007,PAWH,IST,10,5,10.0,5.0,15,15.0,0.0
E2008,PAWH,IST,0,0,0.0,0.0,0,0.0,0.0
E2022,P012298,OLY,0,0,0.0,0.0,0,0.0,0.0
E2023,P012298,OLY,0,0,0.0,0.0,0,0.0,0.0
E2008,PLNW,NAN,11,1,11.0,1.0,12,12.0,0.0
E2012,P004191,CHL,22,11,22.0,11.0,33,33.0,0.0
E2011,P003478,MAL,8,15,8.0,15.0,23,23.0,0.0
E2012,P003478,BAR,22,34,22.0,34.0,56,56.0,0.0
E2013,P003478,BAR,65,84,65.0,84.0,149,149.0,0.0
E2014,P003478,BAR,46,85,46.0,85.0,131,131.0,0.0
E2015,P003478,BAR,66,96,66.0,96.0,162,162.0,0.0
E2019,P003478,BAR,32,65,32.0,65.0,97,97.0,0.0
E2020,P003478,BAR,50,130,50.0,130.0,180,180.0,0.0
